13.300000	500
13.300000	501
14.000000	0
14.000000	1
14.000000	2
14.000000	3
14.000000	4
14.000000	5
14.000000	6
14.000000	7
14.000000	8
14.000000	9
14.000000	10
14.000000	11
14.000000	12
14.000000	13
14.000000	14
14.000000	15
14.000000	16
14.000000	17
14.000000	18
14.000000	19
14.000000	20
14.000000	21
14.000000	22
14.000000	23
14.000000	24
14.000000	25
14.000000	26
14.000000	27
14.000000	28
14.000000	29
14.000000	30
14.000000	31
14.000000	32
14.000000	33
14.000000	34
14.000000	35
14.000000	36
14.000000	37
14.000000	38
14.000000	39
14.000000	40
14.000000	41
14.000000	42
14.000000	43
14.000000	44
14.000000	45
14.000000	46
14.000000	47
14.000000	48
14.000000	49
14.000000	50
14.000000	51
14.000000	52
14.000000	53
14.000000	54
14.000000	55
14.000000	56
14.000000	57
14.000000	58
14.000000	59
14.000000	60
14.000000	61
14.000000	62
14.000000	63
14.000000	64
14.000000	65
14.000000	66
14.000000	67
14.000000	68
14.000000	69
14.000000	70
14.000000	71
14.000000	72
14.000000	73
14.000000	74
14.000000	75
14.000000	76
14.000000	77
14.000000	78
14.000000	79
14.000000	80
14.000000	81
14.000000	82
14.000000	83
14.000000	84
14.000000	85
14.000000	86
14.000000	87
14.000000	88
14.000000	89
14.000000	90
14.000000	91
14.000000	92
14.000000	93
14.000000	94
14.000000	95
14.000000	96
14.000000	97
14.000000	98
14.000000	99
14.000000	100
15.600000	505
16.300000	500
16.700000	501
17.000000	522
17.000000	523
17.100000	502
17.200000	521
17.200000	526
17.300000	525
23.600000	112
24.700000	49
24.900000	481
28.800000	484
30.000000	70
30.300000	500
31.200000	506
31.500000	507
31.700000	96
36.700000	508
